example_id                                                      | status | run_time        |
./spec/pb_kits/playbook/props_spec.rb[1:2:1]                    | passed | 0.00013 seconds |
./spec/pb_kits/playbook/props_spec.rb[1:2:2]                    | passed | 0.00013 seconds |
./spec/pb_kits/playbook/props_spec.rb[1:2:3]                    | passed | 0.00015 seconds |
./spec/pb_kits/playbook/props_spec.rb[1:2:4]                    | passed | 0.00016 seconds |
./spec/pb_kits/playbook/props_spec.rb[1:2:5]                    | passed | 0.00014 seconds |
./spec/pb_kits/playbook/props_spec.rb[1:2:6:1]                  | passed | 0.0001 seconds  |
./spec/pb_kits/playbook/props_spec.rb[1:2:6:2]                  | passed | 0.0011 seconds  |
./spec/pb_kits/playbook/props_spec.rb[1:2:6:3]                  | passed | 0.0001 seconds  |
./spec/pb_kits/playbook/props_spec.rb[1:2:6:4]                  | passed | 0.0001 seconds  |
./spec/pb_kits/playbook/props_spec.rb[1:2:7:1]                  | passed | 0.00071 seconds |
